holderAddress,balance
0x6da3471C674FbaFD2Fc8c0FDA8895219CeB3BB77,100
0x9392e42722ACDa954984590b243eB358582991aA,0
0x24030f49BaeC4baD64db55dF60Fbf2fE447FEe9C,448379766355379273292
0x02359349bA115B26FE715C18288C3F19dfe9f1cd,100
0xd9B42D40C500250aed9a1beBE258cccB26b8Cbcf,0
0xA8890b5BDB005415d038a4c0bd6bB6A240F7f9Dd,1
0x09F34d5462f8837f6dccF895b5EFFE2CcB7662eF,1
0xF5f61157f3c13e4bbC5C42E75Ae80946b72de83F,44455059187480972522
0xb0151D256ee16d847F080691C3529F316b2D54b3,100
0x789a9fe9d50Ecf6f16022B93BA90b65a4A04BF5d,1
0x8b0473E5f2871d420b7891c01a45eF84eE2d523D,100
0x8e8160BA9baCd35f493FB8bE74c5D56b81b8a3b4,1000000000000000000
0x8ca863BbCFA41127346c9A2dcd9374fB806ca396,390740155930437382160
0x87AD950F30fc46eEa9acF3c35EB008c5Ac775B8E,25507325786897471047
0x3982f7E1051ce72A4f8088d28580F41e242333C5,100
0x942B5765B0e5BDc704A6f953F60B72368Cd02236,100
0xB307D426A34A72A94B32BCa5c5f0c8B36440Fa80,100
0xD6ee257dC510fF6682fa54689D87ace46c8C79Cf,0
0xb0FabE3bCAC50F065DBF68C0B271118DDC005402,100
0x2dcc372E20e0c9920b4e2d7c51C80EB92271c209,0
0x49Bde4292f81D7f7e28Ad4011D36Cce7F307D4bC,91954389862327110000
0x492eADF06ba64De5C5fE32C855caC3DC6Bbed1Da,0
0x45354Ba7fd880CB247F0940818Dcc136B282ad3f,0
0xEC948f0a29cE77412773412D076fBBABa1e67491,11979838520111720000
0x76b60dCf71dA2294f8aA034432D925D1eED8cf68,0
0x3f2D1Ae6E5a6F6C112aB7bB9b8422cFB4ceb053D,100
0x9D458D056cEeDCa9c7B7D71A093cad9E54F1d14D,0
0x62587c8915E118dAB2a8527836F10B3AEE7697E8,1126551809822911350245
0x8E5156d442114e8Ad0078DAfe4222FA275A89940,97120908902367777031
0x6403584E4e70F97C8c241ACA1483BBd84C183d1e,107899897146639583014
0xc102bbc9e80451a337Fff539D6a87304a8474945,0
0x524a36cf39810B51205240481A397D966c4fa7df,100
0x14Bd6d35a22D8Cd6cAC3E2bD2B336b991Bd8cEA9,100
0x6ff97E9c4236761Ff003c7761134252E25A3ca71,1000000000000000000
0xE9Da0D4D2aCC12Bbb8543F300eaf0882Ea3b4EF8,100
0x465983Ff53814Cb72C16f4f17be515960d3478C7,100
