holderAddress,balance
0xed40637D872311Fb7C655663E8Dc48C62938d2eB,0
0x34e3b8235cFD9Db5034C0BD5BdBAa4909D272Fa9,4
0xB58e8F36eC46e8E826A4094798739825A3F37C6d,0
0xB30Aab5E29be4486cA86057a478b1A28c5C0eB70,5
0x2BaaD90A0E32Ad9fcd46531905AFf1e0B8D09cB7,77203008315
0x0caC9C3D7196f5BbD76FaDcd771fB69b772c0F9d,0
0x339d408E251CED5d441e09352291C7a45fef676A,0
0x2f2d3C20427598D2f53Bd2c1DfFFe2C4Ba744D32,6
0xC26339dA21a997f3b02ccdac10f37dF80FF0c014,2
0x6d860b9431257BEE012848D1843AAd1a7d1205fC,8
0x80D762e5A4dc2Bc237f594A7F696B5E216067036,0
0xc18792AC0D58244c5C72e6B194004B7Bc4420A17,10
0x88D7D41e29612b643c445983C988D447d8Ca37bc,7
0xb74e5e06f50fa9e4eF645eFDAD9d996D33cc2d9D,5
0xcB13801444b2d1710f46a3D4136b4f0fd4f96D6d,87308622446
0xAa85c1882ea6C44b3407a030595620179a4Ae477,0
0x2eC0C80d53fEC36363E59C6a510380fA20e2fEb6,3
0x73c40b85Ff2b6A8B03148FB175Ee44A6551002c4,5
0x49Bde4292f81D7f7e28Ad4011D36Cce7F307D4bC,1
0x5DC631F244FD8BCf5Bb61C6dB0E9994E2b4Aa69C,6
0x7cEDd095720977891BEDe59f2d6A5d6b2c4bFFFA,6
0x8590F867513155Ee6F4ad1B5A38CCF5c8e38a9FD,0
0x2f24610415cdDF5D230C19297F37Df9C57B46AFe,1
0x9EB97BF8fef03F7599736e8263CB78F4F087384C,4
0x904df79eaa0a078714BeB0c2C7da2C02264e34A2,1
0x49321256E60Aa605Fdd5Abb85E96308aD0b19C5F,1
0x4c12E04dA541E4B06ac861164eD3532Af83dae16,0
0xBc05a906dBE32E01ecD189348ACa5FFb393bC82B,11
0xEF602AD9D89196B5012b3551E863e2a15b5C39a2,0
0x20216577f78eE7D6d5b2b962C744a950efc77437,6
